Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SDKY;SP0379;Hospital das Clínicas;São Paulo;SP; 23 33 29S; 046 40 09W;-23.5581;-46.6692;VFR;PRIV;2023-06-22Z
SDHI;SP0345;Hospital Edmundo Vasconcelos;São Paulo;SP; 23 35 43S; 046 39 09W;-23.5953;-46.6525;VFR;PRIV;2021-04-15Z
SILK;SP0521;O Estado de São Paulo;São Paulo;SP; 23 30 46S; 046 40 18W;-23.5128;-46.6717;VFR;PRIV;2023-06-01Z
SIHK;SP0500;Hospital Santa Catarina;São Paulo;SP; 23 34 08S; 046 38 44W;-23.5689;-46.6456;VFR;PRIV;2023-11-02Z
SDUI;SP0430;Centro Empresarial Iudice;São Paulo;SP;23 30 49S;046 41 41W;-23.5136;-46.6947;VFR;PRIV;2018-10-11Z
SSUH;SP0781;Helinorte;São Paulo;SP;23 24 54S;046 34 50W;-23.415;-46.5806;VFR DIURNA;PRIV;2018-07-19Z
SICG;SP0473;Rede TV;Osasco;SP;23 31 15S;046 45 47W;-23.5208;-46.7631;VFR;PRIV;2018-07-19Z
SJVC;SP0669;Vivicon;São Paulo;SP;23 30 47S;046 40 02W;-23.5131;-46.6672;VFR;PRIV;2018-07-19Z
SIDA;SP0478;Edifício Dakota;São Paulo;SP;23 35 40S;046 41 01W;-23.5944;-46.6836;VFR;PRIV;2018-07-19Z
SIJD;SP0510;João Dias;São Paulo;SP;23 38 37S;046 43 04W;-23.6436;-46.7178;VFR;PRIV;2018-07-19Z
SJFC;SP0617;Federação do Comércio do Estado de São Paulo;São Paulo;SP; 23 33 30S; 046 39 08W;-23.5583;-46.6522;VFR;PRIV;2020-09-10Z
SNSZ;SP1222;Miss Silvia Morizono;São Paulo;SP; 23 35 32S; 046 40 52W;-23.5922;-46.6811;VFR;PRIV;2019-11-07Z
SIYZ;SP0580;Condomínio Edifício Berrini 1681;São Paulo;SP;23 36 41S;046 41 40W;-23.6114;-46.6944;VFR;PRIV;2018-07-19Z
SDEY;SP0323;Imigrantes;Diadema;SP;23 41 20S;046 36 19W;-23.6889;-46.6053;VFR DIURNA;PRIV;2018-07-19Z
SDLF;SP0381;SBT;Osasco;SP; 23 28 36S; 046 46 41W;-23.4767;-46.7781;VFR;PRIV;2019-07-18Z
SDGO;SP0338;Braspress;Guarulhos;SP;23 27 15S;046 29 08W;-23.4542;-46.4856;VFR;PRIV;2018-07-19Z
SDEF;SP0315;Eco Fly;Ferraz de Vasconcelos;SP;23 31 56S;046 23 10W;-23.5322;-46.3861;VFR;PRIV;2018-07-19Z
SWOP;SP0821;APTA;São Bernardo do Campo;SP;23 46 05S;046 35 34W;-23.7681;-46.5928;VFR;PRIV;2018-07-19Z
SDII;SP0354;iTower;Barueri;SP;23 30 17S;046 50 58W;-23.5047;-46.8494;VFR;PRIV;2018-07-19Z
SSPQ;SP0768;Hospital da Polícia Militar;São Paulo;SP;23 28 13S;046 37 10W;-23.4703;-46.6194;VFR;PRIV;2018-07-19Z
SDRN;SP0415;Zarzur;São Paulo;SP; 23 34 12S; 046 41 31W;-23.57;-46.6919;VFR;PRIV;2018-07-19Z
SNBQ;SP0692;Bela Cintra;São Paulo;SP; 23 33 14S; 046 39 31W;-23.5539;-46.6586;VFR;PRIV;2021-12-16Z
SIRZ;SP0548;Condomínio Faria Lima - Pinheiros;São Paulo;SP;23 34 10S;046 41 28W;-23.5694;-46.6911;VFR;PRIV;2022-06-02Z
SJXK;SP0677;Eldorado;São Paulo;SP;23 34 23S;046 41 51W;-23.5731;-46.6975;VFR;PRIV;2021-06-03Z
SIKT;SP0519;Joaquim Floriano;São Paulo;SP;23 34 59S;046 40 16W;-23.5831;-46.6711;VFR;PRIV;2018-07-19Z
SJRQ;SP0654;Hospital São Camilo Pompéia;São Paulo;SP;23 32 02S;046 41 18W;-23.5339;-46.6883;VFR;PRIV;2018-07-19Z
SDTJ;SP0424;Edifício Atrium V;São Paulo;SP; 23 35 41.22S; 046 41 05.76W;-23.5947;-46.6847;VFR;PRIV;2021-02-04Z
SJBO;SP0599;EZ Towers B;São Paulo;SP;23 37 38S;046 42 06W;-23.6272;-46.7017;VFR;PRIV;2018-07-19Z
SIYU;SP0579;Edifício Ronaldo Sampaio Ferreira;São Paulo;SP;23 36 06S;046 41 31W;-23.6017;-46.6919;VFR;PRIV;2018-07-19Z
SDON;SP0397;Ônix;São Paulo;SP;23 33 05S;046 43 20W;-23.5514;-46.7222;VFR;PRIV;2018-07-19Z
SNRW;SP0729;Reik Morumbi;São Paulo;SP; 23 35 52S; 046 42 26W;-23.5978;-46.7072;VFR DIURNA;PRIV;2018-07-19Z
SDMT;SP0386;Banco Bradesco Av. Paulista;São Paulo;SP;23 33 44S;046 39 18W;-23.5622;-46.655;VFR;PRIV;2018-07-19Z
SDRB;SP0414;Renaissance Hotel;São Paulo;SP; 23 33 31.94S; 046 39 44.12W;-23.5586;-46.6622;VFR;PRIV;2024-07-25Z
SDIW;SP0358;Edifício São Paulo Trade Building;São Paulo;SP; 23 35 39S; 046 41 22W;-23.5942;-46.6894;VFR;PRIV;2018-07-19Z
SNIL;SP0847;HBR Lead Corporate Faria Lima;São Paulo;SP; 23 35 31S; 046 40 49W;-23.5919;-46.6803;VFR;PRIV;2019-03-14Z
